               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.037493,            0.025177,                   0,             0.99984,             0.92308,             0.98567,             0.75318,              0.0167,            0.009376,                   0,          0.00071192,          0.00071192,            0.081312
                  39,            0.041343,            0.024253,                   0,             0.99444,             0.76923,              0.9385,             0.62406,            0.023475,           0.0093539,                   0,          0.00068795,          0.00068795,            0.080788
                  40,            0.042672,            0.022812,                   0,             0.84603,              0.8454,              0.8922,             0.59435,            0.022142,           0.0090497,                   0,            0.000663,            0.000663,            0.080263
                  41,            0.044394,            0.026068,                   0,             0.62479,             0.76923,              0.7231,             0.28157,            0.029411,           0.0093899,                   0,          0.00063727,          0.00063727,            0.079737
                  42,            0.046983,            0.027433,                   0,             0.92307,             0.92308,             0.96622,             0.73934,            0.016381,           0.0091022,                   0,          0.00061096,          0.00061096,            0.079211
                  43,            0.039707,            0.027123,                   0,              0.9085,              0.7642,             0.89193,             0.50303,            0.026538,           0.0094087,                   0,           0.0005843,           0.0005843,            0.078684
                  44,            0.040841,            0.026449,                   0,             0.92277,             0.92308,             0.93253,              0.6382,             0.01876,           0.0092413,                   0,          0.00055752,          0.00055752,            0.078158
                  45,            0.033132,            0.020303,                   0,              0.6666,             0.92283,              0.8527,             0.41834,            0.021756,           0.0092986,                   0,          0.00053083,          0.00053083,            0.077631
                  46,            0.033497,            0.020065,                   0,             0.99664,             0.76923,             0.92416,             0.64377,            0.022399,            0.009144,                   0,          0.00050447,          0.00050447,            0.077104
                  47,            0.040966,            0.031479,                   0,             0.92306,              0.9229,             0.93666,             0.62967,            0.019544,           0.0088409,                   0,          0.00047868,          0.00047868,            0.076579
                  48,            0.035355,            0.022208,                   0,              0.9998,             0.92308,             0.97853,              0.6763,            0.016837,            0.008471,                   0,           0.0004537,           0.0004537,            0.076054
                  49,            0.037642,            0.022026,                   0,             0.91618,             0.84615,               0.942,             0.50797,            0.020094,           0.0082176,                   0,          0.00042977,          0.00042977,             0.07553
                  50,            0.031268,            0.023185,                   0,             0.99998,             0.92308,             0.98567,              0.7192,            0.014917,           0.0080118,                   0,          0.00040713,          0.00040713,            0.075007
                  51,            0.037119,            0.017775,                   0,             0.92271,             0.92308,             0.94017,              0.5371,            0.018889,           0.0081648,                   0,          0.00038603,          0.00038603,            0.074486
                  52,             0.03023,            0.022793,                   0,             0.92841,                   1,                0.99,             0.65974,            0.015102,           0.0079355,                   0,          0.00036671,          0.00036671,            0.073967
                  53,            0.033615,            0.021631,                   0,             0.92823,                   1,                0.99,             0.71241,             0.01529,           0.0079005,                   0,           0.0003494,           0.0003494,            0.073449
                  54,            0.029945,            0.021936,                   0,             0.92829,                   1,                0.99,             0.74506,            0.014687,           0.0077091,                   0,          0.00033435,          0.00033435,            0.072934
                  55,            0.030857,            0.022696,                   0,              0.9999,             0.92308,             0.98567,             0.68999,            0.014938,           0.0076839,                   0,          0.00032178,          0.00032178,            0.072422
                  56,            0.035147,            0.021975,                   0,             0.99981,             0.92308,             0.98567,             0.72207,            0.014726,           0.0076357,                   0,          0.00031193,          0.00031193,            0.071912
                  57,            0.029776,            0.021452,                   0,             0.92298,             0.92193,             0.94034,             0.56605,            0.019866,           0.0079359,                   0,          0.00030501,          0.00030501,            0.071405
                  58,            0.032969,            0.022038,                   0,                   1,             0.99987,               0.995,             0.66515,            0.014658,           0.0073582,                   0,          0.00030125,          0.00030125,            0.070901
                  59,            0.029521,            0.025504,                   0,             0.99981,                   1,               0.995,             0.75561,            0.013263,           0.0072319,                   0,          0.00030084,          0.00030084,            0.070401
